batch:  1000, over_loss:  46.26433, position:   4.27509, hold:  12.04140, trajactory:   3.51263, velocity:  25.46832, jerk:   0.06501, muscle:   0.90187
batch:  2000, over_loss:  33.55233, position:   3.51507, hold:   8.36695, trajactory:   2.25729, velocity:  18.59822, jerk:   0.06726, muscle:   0.74753
batch:  3000, over_loss:  24.88303, position:   3.02423, hold:   6.43724, trajactory:   1.18512, velocity:  13.41630, jerk:   0.07516, muscle:   0.74498
batch:  4000, over_loss:  21.02527, position:   2.74314, hold:   5.64841, trajactory:   0.85276, velocity:  10.88993, jerk:   0.07943, muscle:   0.81160
batch:  5000, over_loss:  17.32117, position:   2.51915, hold:   4.86969, trajactory:   0.63765, velocity:   8.30724, jerk:   0.08859, muscle:   0.89886
batch:  6000, over_loss:  14.99575, position:   2.29569, hold:   4.61718, trajactory:   0.59006, velocity:   6.47285, jerk:   0.09097, muscle:   0.92900
batch:  7000, over_loss:  13.97067, position:   2.25587, hold:   4.48171, trajactory:   0.50009, velocity:   5.71533, jerk:   0.09583, muscle:   0.92184
batch:  8000, over_loss:  12.71622, position:   2.18209, hold:   4.27277, trajactory:   0.45351, velocity:   4.80249, jerk:   0.09931, muscle:   0.90605
batch:  9000, over_loss:  11.40242, position:   2.10153, hold:   3.74463, trajactory:   0.35524, velocity:   4.20213, jerk:   0.09795, muscle:   0.90094
batch: 10000, over_loss:  10.82431, position:   2.03381, hold:   3.63595, trajactory:   0.31831, velocity:   3.82107, jerk:   0.10319, muscle:   0.91198
batch: 11000, over_loss:  10.68210, position:   2.08149, hold:   3.49890, trajactory:   0.29314, velocity:   3.78251, jerk:   0.09973, muscle:   0.92635
batch: 12000, over_loss:   9.86994, position:   2.03745, hold:   3.26460, trajactory:   0.24198, velocity:   3.28263, jerk:   0.09877, muscle:   0.94451
batch: 13000, over_loss:   9.41069, position:   1.97811, hold:   3.13640, trajactory:   0.22451, velocity:   3.01678, jerk:   0.09873, muscle:   0.95616
batch: 14000, over_loss:   9.01459, position:   1.92241, hold:   2.99679, trajactory:   0.20754, velocity:   2.80884, jerk:   0.10169, muscle:   0.97732
batch: 15000, over_loss:   8.67001, position:   1.82698, hold:   2.88457, trajactory:   0.19025, velocity:   2.68360, jerk:   0.10075, muscle:   0.98385
batch: 16000, over_loss:   8.57132, position:   1.95469, hold:   2.74400, trajactory:   0.18793, velocity:   2.61331, jerk:   0.09561, muscle:   0.97578
batch: 17000, over_loss:   8.23646, position:   1.83515, hold:   2.62564, trajactory:   0.16559, velocity:   2.53510, jerk:   0.09746, muscle:   0.97751
batch: 18000, over_loss:   7.64500, position:   1.69578, hold:   2.46602, trajactory:   0.15302, velocity:   2.25398, jerk:   0.09723, muscle:   0.97897
batch: 19000, over_loss:   7.75682, position:   1.92693, hold:   2.43001, trajactory:   0.14659, velocity:   2.18577, jerk:   0.09611, muscle:   0.97141
batch: 20000, over_loss:   7.50701, position:   1.82069, hold:   2.33559, trajactory:   0.14219, velocity:   2.13504, jerk:   0.10038, muscle:   0.97312
