batch:  1000, over_loss:  56.37680, position:   4.95497, hold:  14.14326, trajactory:   4.34934, velocity:  31.76504, jerk:   0.06268, muscle:   1.10151
batch:  2000, over_loss:  42.75635, position:   3.57186, hold:   9.45962, trajactory:   2.84114, velocity:  25.82761, jerk:   0.05696, muscle:   0.99916
batch:  3000, over_loss:  33.16824, position:   3.28228, hold:   7.57023, trajactory:   1.79851, velocity:  19.51381, jerk:   0.06622, muscle:   0.93718
batch:  4000, over_loss:  26.97118, position:   2.97665, hold:   6.30172, trajactory:   1.23698, velocity:  15.44958, jerk:   0.07759, muscle:   0.92866
batch:  5000, over_loss:  22.54779, position:   2.77539, hold:   5.48507, trajactory:   0.94323, velocity:  12.25164, jerk:   0.09897, muscle:   0.99350
batch:  6000, over_loss:  19.18279, position:   2.52497, hold:   4.93027, trajactory:   0.69422, velocity:   9.91825, jerk:   0.09309, muscle:   1.02199
batch:  7000, over_loss:  17.37198, position:   2.37722, hold:   4.59728, trajactory:   0.60710, velocity:   8.64691, jerk:   0.10241, muscle:   1.04105
batch:  8000, over_loss:  15.52199, position:   2.19852, hold:   4.24915, trajactory:   0.49274, velocity:   7.45271, jerk:   0.10031, muscle:   1.02856
batch:  9000, over_loss:  14.44484, position:   2.33674, hold:   3.97845, trajactory:   0.42395, velocity:   6.56713, jerk:   0.10707, muscle:   1.03150
batch: 10000, over_loss:  13.63279, position:   2.16591, hold:   3.78689, trajactory:   0.38921, velocity:   6.14419, jerk:   0.10755, muscle:   1.03904
batch: 11000, over_loss:  12.82915, position:   2.19134, hold:   3.56379, trajactory:   0.32892, velocity:   5.59671, jerk:   0.10935, muscle:   1.03903
batch: 12000, over_loss:  11.76114, position:   2.02984, hold:   3.28320, trajactory:   0.28278, velocity:   4.98747, jerk:   0.11444, muscle:   1.06340
batch: 13000, over_loss:  11.26264, position:   2.07239, hold:   3.05338, trajactory:   0.24466, velocity:   4.69040, jerk:   0.11722, muscle:   1.08459
batch: 14000, over_loss:  10.66075, position:   1.92742, hold:   2.86632, trajactory:   0.23359, velocity:   4.40809, jerk:   0.11772, muscle:   1.10762
batch: 15000, over_loss:  10.21140, position:   1.93141, hold:   2.74413, trajactory:   0.21084, velocity:   4.09068, jerk:   0.12362, muscle:   1.11072
batch: 16000, over_loss:   9.70733, position:   1.92831, hold:   2.61120, trajactory:   0.19494, velocity:   3.74592, jerk:   0.12423, muscle:   1.10273
batch: 17000, over_loss:   9.24112, position:   1.84949, hold:   2.49516, trajactory:   0.18478, velocity:   3.48965, jerk:   0.12671, muscle:   1.09533
batch: 18000, over_loss:   9.13743, position:   1.85875, hold:   2.36374, trajactory:   0.16687, velocity:   3.53025, jerk:   0.12875, muscle:   1.08906
batch: 19000, over_loss:   8.87005, position:   1.81327, hold:   2.33820, trajactory:   0.16498, velocity:   3.34035, jerk:   0.13102, muscle:   1.08222
batch: 20000, over_loss:   8.54053, position:   1.81388, hold:   2.25065, trajactory:   0.15286, velocity:   3.11543, jerk:   0.13199, muscle:   1.07572
