batch:  1000, over_loss:  51.87341, position:   4.46391, hold:  14.46679, trajactory:   4.08844, velocity:  27.80828, jerk:   0.05043, muscle:   0.99556
batch:  2000, over_loss:  35.81459, position:   3.88710, hold:  10.45193, trajactory:   2.57971, velocity:  18.04742, jerk:   0.06585, muscle:   0.78259
batch:  3000, over_loss:  28.41109, position:   3.69127, hold:   7.76285, trajactory:   1.68743, velocity:  14.47891, jerk:   0.07136, muscle:   0.71926
batch:  4000, over_loss:  23.04885, position:   3.37990, hold:   6.51701, trajactory:   1.00675, velocity:  11.31650, jerk:   0.07115, muscle:   0.75753
batch:  5000, over_loss:  20.41091, position:   3.01212, hold:   5.68094, trajactory:   0.95296, velocity:   9.86817, jerk:   0.07936, muscle:   0.81735
batch:  6000, over_loss:  17.71511, position:   2.82296, hold:   5.18141, trajactory:   0.71061, velocity:   8.03147, jerk:   0.09087, muscle:   0.87779
batch:  7000, over_loss:  15.02874, position:   2.58986, hold:   5.01714, trajactory:   0.65165, velocity:   5.79010, jerk:   0.08889, muscle:   0.89109
batch:  8000, over_loss:  14.94680, position:   2.60691, hold:   4.88421, trajactory:   0.61073, velocity:   5.83905, jerk:   0.09635, muscle:   0.90955
batch:  9000, over_loss:  13.68918, position:   2.51580, hold:   4.73566, trajactory:   0.54333, velocity:   4.88393, jerk:   0.09107, muscle:   0.91940
batch: 10000, over_loss:  11.90113, position:   2.14966, hold:   4.26298, trajactory:   0.43963, velocity:   4.02502, jerk:   0.09222, muscle:   0.93162
batch: 11000, over_loss:  11.53431, position:   2.20962, hold:   4.16900, trajactory:   0.49919, velocity:   3.64691, jerk:   0.09001, muscle:   0.91957
batch: 12000, over_loss:  11.34586, position:   2.06469, hold:   4.20620, trajactory:   0.44511, velocity:   3.63826, jerk:   0.08626, muscle:   0.90535
batch: 13000, over_loss:  11.40032, position:   2.27810, hold:   4.06447, trajactory:   0.42505, velocity:   3.63199, jerk:   0.08938, muscle:   0.91132
batch: 14000, over_loss:  10.17452, position:   2.07938, hold:   3.54382, trajactory:   0.35499, velocity:   3.19153, jerk:   0.09216, muscle:   0.91265
batch: 15000, over_loss:   9.53662, position:   1.95755, hold:   3.65819, trajactory:   0.32229, velocity:   2.61134, jerk:   0.08158, muscle:   0.90566
batch: 16000, over_loss:   9.53347, position:   1.93166, hold:   3.71718, trajactory:   0.29534, velocity:   2.59664, jerk:   0.08104, muscle:   0.91160
batch: 17000, over_loss:   9.35459, position:   1.98632, hold:   3.49024, trajactory:   0.25015, velocity:   2.60752, jerk:   0.08539, muscle:   0.93497
batch: 18000, over_loss:   8.98539, position:   1.76377, hold:   3.45852, trajactory:   0.25413, velocity:   2.48456, jerk:   0.08746, muscle:   0.93696
batch: 19000, over_loss:   9.29628, position:   2.07926, hold:   3.43461, trajactory:   0.21256, velocity:   2.53232, jerk:   0.08353, muscle:   0.95400
batch: 20000, over_loss:   8.79907, position:   1.98283, hold:   3.35228, trajactory:   0.26929, velocity:   2.15163, jerk:   0.08111, muscle:   0.96192
